Mapa,Cve_Ent,Nom_Ent,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ambito,Latitud,Longitud,Altitud,Cve_Carta
30031523,3,Baja California Sur,3,La Paz,1523,El Palmarito,R,"23°39´48.350N""","110°17´08.719W""",158,F12B23
30031525,3,Baja California Sur,3,La Paz,1525,La Palmilla,R,"24°06´25.826N""","110°11´59.027W""",271,G12D83
30031526,3,Baja California Sur,3,La Paz,1526,San Pablo,R,"24°01´42.534N""","110°08´13.606W""",680,G12D83
30031527,3,Baja California Sur,3,La Paz,1527,Palo La Blancosa,R,"24°08´57.286N""","110°56´25.492W""",87,G12D81
30031532,3,Baja California Sur,3,La Paz,1532,El Palacio,R,"24°02´45.632N""","110°07´52.256W""",701,G12D83
30031533,3,Baja California Sur,3,La Paz,1533,Las Parritas,R,"23°13´59.185N""","110°03´44.706W""",128,F12B43
30031534,3,Baja California Sur,3,La Paz,1534,Puerto De Pichilingue,R,"24°16´33.873N""","110°19´39.107W""",14,G12D73
30031535,3,Baja California Sur,3,La Paz,1535,La Piedra,R,"23°44´25.387N""","109°53´18.412W""",499,F12B24
30031536,3,Baja California Sur,3,La Paz,1536,Las Piedritas,R,"23°28´43.016N""","110°04´22.844W""",444,F12B33
30031540,3,Baja California Sur,3,La Paz,1540,Las Playitas,R,"23°31´37.941N""","110°17´40.519W""",9,F12B23
30031542,3,Baja California Sur,3,La Paz,1542,Los Potrerillos,R,"23°44´56.796N""","109°54´53.387W""",554,F12B24
30031543,3,Baja California Sur,3,La Paz,1543,Los Potrerillos,R,"23°41´15.195N""","110°00´38.101W""",701,F12B23
30031545,3,Baja California Sur,3,La Paz,1545,El Potrero,R,"23°21´17.792N""","110°10´36.278W""",28,F12B33
30031552,3,Baja California Sur,3,La Paz,1552,La Laguna Del Rifle,R,"24°32´44.948N""","111°15´11.044W""",91,G12C69
30031558,3,Baja California Sur,3,La Paz,1558,Punta Coyote,R,"24°42´11.250N""","110°41´47.724W""",6,G12D61
